Namespace(batch_size=16, beta1=0.5, cuda=False, dataroot='./cifar10', dataset='cifar10', image_size=64, learning_rate=0.0002, local_rank=3, max_workers=4, ndf=64, ngf=64, num_epochs=1, nz=100, out_folder='/home/ubuntu/Distributed-DCGAN/output_nproc_4_at_20220509-120059', seed=0)
Using seed: 0
Using GPU: False
Namespace(batch_size=16, beta1=0.5, cuda=False, dataroot='./cifar10', dataset='cifar10', image_size=64, learning_rate=0.0002, local_rank=0, max_workers=4, ndf=64, ngf=64, num_epochs=1, nz=100, out_folder='/home/ubuntu/Distributed-DCGAN/output_nproc_4_at_20220509-120059', seed=0)
Using seed: 0
Using GPU: False
Namespace(batch_size=16, beta1=0.5, cuda=False, dataroot='./cifar10', dataset='cifar10', image_size=64, learning_rate=0.0002, local_rank=1, max_workers=4, ndf=64, ngf=64, num_epochs=1, nz=100, out_folder='/home/ubuntu/Distributed-DCGAN/output_nproc_4_at_20220509-120059', seed=0)
Using seed: 0
Using GPU: False
Namespace(batch_size=16, beta1=0.5, cuda=False, dataroot='./cifar10', dataset='cifar10', image_size=64, learning_rate=0.0002, local_rank=2, max_workers=4, ndf=64, ngf=64, num_epochs=1, nz=100, out_folder='/home/ubuntu/Distributed-DCGAN/output_nproc_4_at_20220509-120059', seed=0)
Using seed: 0
Using GPU: False
Rank: 0. World Size: 4
Rank: 1. World Size: 4
Rank: 3. World Size: 4
Rank: 2. World Size: 4
Dataset cifar10 loaded
Dataset cifar10 loaded
Dataset cifar10 loaded
Dataset cifar10 loaded
Rank,0,Initialization Time: 1.5403368473052979
Rank,2,Initialization Time: 1.501408338546753
Rank: 2, Epoch: 0, Training ...
Rank,3,Initialization Time: 1.5515539646148682
Rank: 3, Epoch: 0, Training ...
Rank,1,Initialization Time: 1.5331850051879883
Rank: 1, Epoch: 0, Training ...
Rank: 0, Epoch: 0, Training ...
[epoch: 0/1][iteration: 0/782][rank: 3] Loss_D: 1.5189, Loss_G: 4.8522, D(x): 0.5812, D(G(z)): 0.6129 / 0.0082, iteration time: 2.7128s
[epoch: 0/1][iteration: 0/782][rank: 2] Loss_D: 1.5506, Loss_G: 4.8522, D(x): 0.5634, D(G(z)): 0.6129 / 0.0082, iteration time: 2.6616s
[epoch: 0/1][iteration: 0/782][rank: 0] Loss_D: 1.4697, Loss_G: 4.8522, D(x): 0.6119, D(G(z)): 0.6129 / 0.0082, iteration time: 2.7959s
[epoch: 0/1][iteration: 0/782][rank: 1] Loss_D: 1.5376, Loss_G: 4.8522, D(x): 0.5703, D(G(z)): 0.6129 / 0.0082, iteration time: 2.7238s
[epoch: 0/1][iteration: 1/782][rank: 0] Loss_D: 0.8877, Loss_G: 3.5622, D(x): 0.5523, D(G(z)): 0.2365 / 0.0289, iteration time: 2.2502s
[epoch: 0/1][iteration: 1/782][rank: 3] Loss_D: 0.8224, Loss_G: 3.5622, D(x): 0.5938, D(G(z)): 0.2365 / 0.0289, iteration time: 2.2855s
[epoch: 0/1][iteration: 1/782][rank: 2] Loss_D: 0.8278, Loss_G: 3.5622, D(x): 0.5831, D(G(z)): 0.2365 / 0.0289, iteration time: 2.2868s
[epoch: 0/1][iteration: 1/782][rank: 1] Loss_D: 0.9229, Loss_G: 3.5622, D(x): 0.5315, D(G(z)): 0.2365 / 0.0289, iteration time: 2.2887s
[epoch: 0/1][iteration: 2/782][rank: 0] Loss_D: 0.7279, Loss_G: 4.3594, D(x): 0.7571, D(G(z)): 0.3488 / 0.0133, iteration time: 2.4168s
[epoch: 0/1][iteration: 2/782][rank: 3] Loss_D: 0.6846, Loss_G: 4.3594, D(x): 0.7966, D(G(z)): 0.3488 / 0.0133, iteration time: 2.4092s
[epoch: 0/1][iteration: 2/782][rank: 2] Loss_D: 0.9181, Loss_G: 4.3594, D(x): 0.6720, D(G(z)): 0.3488 / 0.0133, iteration time: 2.4344s
[epoch: 0/1][iteration: 2/782][rank: 1] Loss_D: 0.7237, Loss_G: 4.3594, D(x): 0.7669, D(G(z)): 0.3488 / 0.0133, iteration time: 2.4378s
